name,supertypes,types,subtypes,colorIdentity,manaCost,convertedManaCost,edhrecRank,hasAlternativeDeckLimit,leadershipSkills,multiverseId,scryfallId,commander_legal,categories_trimmed
Chill to the Bone,,Instant,,B,{3}{B},4,14713,0,,121190,312505d7-362e-43cf-bd23-28c248a8b7e1,1,removal
Chillbringer,,Creature,Elemental,U,{4}{U},5,16874,0,,,c364d1b2-259d-400e-8a1a-ee851aee77f8,1,
Chilling Grasp,,Instant,,U,{2}{U},3,17382,0,,414342,60d85d58-eae3-4f9d-8f54-440fa6ded95b,1,
Chilling Shade,Snow,Creature,Shade,B,{2}{B},3,12720,0,,121258,d050c8b9-2b5a-4025-9886-73c418f4e22f,1,
Chilling Trap,,Instant,,U,{U},1,8138,0,,491678,60f9adfd-a940-4d62-894b-84f17c693a10,1,cardraw
Chimeric Coils,,Artifact,,,{1},1,20418,0,,50156,9cbe14e2-89f2-4458-a84f-08ed3c6ae3d7,1,
Chimeric Egg,,Artifact,,,{3},3,15600,0,,49097,d516f267-e72b-453c-bceb-4766582568d2,1,
Chimeric Idol,,Artifact,,,{3},3,18558,0,,24680,fd0fb30e-e4d0-4271-a712-db40fa7650c3,1,
Chimeric Mass,,Artifact,,,{X},0,10359,0,,397782,3ef3dea8-b3e5-432e-a65d-442fe06ca976,1,
Chimeric Staff,,Artifact,,,{4},4,18468,0,,135254,9ca0425d-f41c-4ba5-ac06-9ce5bab2a4b9,1,
Chimney Imp,,Creature,Imp,B,{4}{B},5,20176,0,,,3316e174-5925-40d8-a1a7-78004d3b800e,1,
"Chisei, Heart of Oceans",Legendary,Creature,Spirit,U,{2}{U}{U},4,11812,0,1,74096,6c359b1a-d441-4763-96c7-e5c010eae53f,1,
Chitinous Cloak,,Artifact,Equipment,,{3},3,11005,0,,407673,15e54603-af67-497f-afe0-88cfa4d00095,1,
Chittering Harvester,,Creature,Nightmare,B,{5}{B},6,4077,0,,479600,d51a0700-d4d3-4b7e-bdb5-6cd913c948d9,1,removal
Chittering Rats,,Creature,Rat,B,{1}{B}{B},3,12657,0,,46096,980135d5-dfaa-4beb-b4b3-1e256bb46e61,1,
Chittering Witch,,Creature,"Human,Warlock",B,{3}{B},4,3118,0,,532482,b57c76be-082e-4552-9830-403a98992619,1,removal
Choice of Damnations,,Sorcery,Arcane,B,{5}{B},6,8791,0,,88803,05939f15-2d95-47df-b66f-131c3e7ea95f,1,wrath
Choking Fumes,,Instant,,W,{2}{W},3,17180,0,,213808,1b9af543-5273-4754-ab7d-75d0b632240f,1,
Choking Restraints,,Enchantment,Aura,W,{2}{W},3,15945,0,,414306,4549735d-df63-47db-ad53-0497499fe387,1,removal
Choking Sands,,Sorcery,,B,{1}{B}{B},3,16017,0,,3282,e41c15fb-01a1-446e-9e88-71e8e95d9bce,1,
Choking Tethers,,Instant,,U,{3}{U},4,10485,0,,442037,14884e61-fb1e-4989-ae29-57dfd910b53f,1,
"Cho-Manno, Revolutionary",Legendary,Creature,"Human,Rebel",W,{2}{W}{W},4,12636,0,1,130554,fe04dfe7-6376-4c12-9404-0e1ae0942917,1,
Choose Your Weapon,,Instant,,G,{2}{G},3,7352,0,,527462,213726e4-e2f5-4e52-b05a-21c4bab9927c,1,removal
Chord of Calling,,Instant,,G,{X}{G}{G}{G},3,363,0,,489831,dac257a9-39bf-4185-9d2e-f80f0848a96a,1,tutor
Chorus of Might,,Instant,,G,{3}{G},4,13570,0,,265373,214dc9c1-154d-4c35-845d-dd2928f1e142,1,
Chorus of the Conclave,Legendary,Creature,Dryad,"G,W",{4}{G}{G}{W}{W},8,14511,0,1,247374,f6cde2c4-f53d-4b44-b83b-37b12e00c835,1,
Chorus of the Tides,,Creature,Siren,U,{3}{U},4,19852,0,,378405,6e576f7a-0390-4514-aaed-20406fe6acdf,1,
Chosen by Heliod,,Enchantment,Aura,W,{1}{W},2,10477,0,,373561,d8ead499-920c-465a-a23d-f08710d7e9bc,1,cardraw
Chosen of Markov // Markov's Servant,,Creature,Human,B,{2}{B},3,16839,0,,243229,7c5a3c09-5656-4975-ba03-2d809903ed18,1,
Chromanticore,,"Enchantment,Creature",Manticore,"B,G,R,U,W",{W}{U}{B}{R}{G},5,7514,0,,378516,8d171b46-69e7-4e39-b3b2-97ed022cd933,1,
Chromatic Lantern,,Artifact,,,{3},3,88,0,,,e068501e-59d6-4c64-99f4-f3c2aacd5d4d,1,manarock
Chromatic Orrery,Legendary,Artifact,,,{7},7,799,0,,485551,3af78d76-ad5c-44ba-880d-b834bcde5398,1,"manarock,cardraw"
Chromatic Star,,Artifact,,,{1},1,2137,0,,135279,3233db3e-ec30-4be5-867d-81855652a8b0,1,"cardraw,pseudo_ramp"
Chrome Mox,,Artifact,,,{0},0,105,0,,489913,f340cbf7-5bbe-45b9-a4bf-d1caa500ff93,1,ramp
Chrome Replicator,,"Artifact,Creature",Construct,,{5},5,20361,0,,485552,1e01bcb4-e823-4da5-b433-e75be3356367,1,
Chrome Steed,,"Artifact,Creature",Horse,,{4},4,18450,0,,212247,ce881675-690f-4d4c-a951-ab8302e904ab,1,
Chromescale Drake,,Creature,Drake,U,{6}{U}{U}{U},9,17209,0,,48127,d22aa7ef-da34-49c1-9aac-67d129ffa6fe,1,cardraw
Chromeshell Crab,,Creature,"Crab,Beast",U,{4}{U},5,4970,0,,470627,c91cf95f-5007-409c-b891-00e10a3477e0,1,
Chromium,Legendary,Creature,"Elder,Dragon","B,U,W",{2}{W}{W}{U}{U}{B}{B},8,15946,0,1,2869,e85e54f3-012b-460f-a6f9-d0242a174adc,1,
"Chromium, the Mutable",Legendary,Creature,"Elder,Dragon","B,U,W",{4}{W}{U}{B},7,8925,0,1,447350,50c1de2c-1acc-47c8-9b5e-a9dae3da8a49,1,
Chronatog Totem,,Artifact,,U,{3},3,13037,0,,106630,5acd482c-9815-4ff5-99ef-fb1a014251bb,1,manarock
Chronic Flooding,,Enchantment,Aura,U,{1}{U},2,8460,0,,270786,1a757425-3cf2-4aca-b415-5ec2d5f753fe,1,
Chronicler of Heroes,,Creature,"Centaur,Wizard","G,W",{1}{G}{W},3,15491,0,,571526,76a60ba3-208c-41c9-a40a-46d3586acdfd,1,cardraw
Chronomantic Escape,,Sorcery,,W,{4}{W}{W},6,8703,0,,126204,cb6989fd-05cf-4169-96c0-37c556454b92,1,
Chronomaton,,"Artifact,Creature",Golem,,{1},1,11848,0,,380269,787b6916-3fce-41dd-ab52-f17546fd04ed,1,
Chronosavant,,Creature,Giant,W,{5}{W},6,20324,0,,110502,d6264d4f-adf1-4d7b-b17a-fd7122e9b2cd,1,
Chronostutter,,Instant,,U,{5}{U},6,20061,0,,383210,bbef107d-c19f-4af3-9236-c66123075b41,1,
Chronozoa,,Creature,Illusion,U,{3}{U},4,9564,0,,111066,a77c1ac0-5548-42b0-aa46-d532b3518632,1,
Chub Toad,,Creature,Frog,G,{2}{G},3,11966,0,,3966,0d977294-051a-4e6d-b2ba-c04494474aac,1,
"Chulane, Teller of Tales",Legendary,Creature,"Human,Druid","G,U,W",{2}{G}{W}{U},5,2578,0,1,476044,83f43730-1c1f-4150-8771-d901c54bedc4,1,"cardraw,pseudo_ramp"
Cinder Elemental,,Creature,Elemental,R,{3}{R},4,15707,0,,366314,8bbf10ce-69e0-4984-91a3-f65df919830d,1,removal
Cinder Hellion,,Creature,Hellion,R,{4}{R},5,19040,0,,,7f111537-e1b1-4408-ae5d-8bc06c408824,1,
Cinder Pyromancer,,Creature,"Elemental,Shaman",R,{2}{R},3,8920,0,,,514b8cc1-7d5b-40ff-9c71-bb5e54e40358,1,
Cinder Storm,,Sorcery,,R,{6}{R},7,17426,0,,442115,650a5856-b8a4-445a-93d2-f3869a03031f,1,removal
Cinderbones,,Creature,"Elemental,Skeleton",B,{2}{B},3,13584,0,,142051,22dcf40c-62fb-4205-807e-71655066a61b,1,
Cinderclasm,,Instant,,R,{1}{R},2,7941,0,,491776,5516cf97-805f-4a21-a4c6-2d6e55865336,1,removal
Cinderhaze Wretch,,Creature,"Elemental,Shaman",B,{4}{B},5,8003,0,,135439,644319c2-f122-4369-b1f8-56ad7d8ce861,1,
Cinderheart Giant,,Creature,"Giant,Berserker",R,{5}{R}{R},7,10898,0,,503738,e4802e6c-6921-4dac-bf44-7e09d6942b71,1,removal
Cindervines,,Enchantment,,"G,R",{R}{G},2,2742,0,,,bd85846e-bef3-4763-8003-a6bd9714b9dd,1,
Circle of Affliction,,Enchantment,,B,{1}{B},2,18589,0,,126803,1f059cd0-7924-495e-bac4-021f0e46bb87,1,
Circle of Confinement,,Enchantment,,W,{1}{W},2,17502,0,,,f346860f-a70a-4bc6-b7a2-9a2c74d9c4d8,1,removal
Circle of Dreams Druid,,Creature,"Elf,Druid",G,{G}{G}{G},3,747,0,,527463,be6fdec0-a2c4-4da2-ae14-961185eaee66,1,manadork
Circle of Elders,,Creature,"Human,Shaman",G,{2}{G}{G},4,14542,0,,394516,a99df522-cc97-41e3-8073-72e092afe8bb,1,manadork
Circle of Flame,,Enchantment,,R,{1}{R},2,8133,0,,220273,419b1813-9760-47b9-b6f3-e501586cfe4d,1,
Circle of Protection: Artifacts,,Enchantment,,W,{1}{W},2,18011,0,,2328,6bfddcee-704f-4189-8cb0-6025fe98d7e9,1,
Circle of Protection: Black,,Enchantment,,W,{1}{W},2,14306,0,,838,1eea1199-6b07-430c-b100-c5825a23d8b0,1,
Circle of Protection: Red,,Enchantment,,W,{1}{W},2,13978,0,,841,4cc60529-401b-481a-b65c-ad791153afd7,1,
Circle of the Moon Druid,,Creature,"Human,Elf,Druid",G,{2}{G},3,11916,0,,527464,700c9ed8-6bfe-4f1e-855a-5f31e0d2fc9b,1,
"Circu, Dimir Lobotomist",Legendary,Creature,"Human,Wizard","B,U",{2}{U}{B},4,8289,0,1,455912,80d88d83-d614-4995-ad3e-7ac062f4a93c,1,
Circuitous Route,,Sorcery,,G,{3}{G},4,844,0,,452875,5a970429-6369-4422-a343-00b30267f09d,1,ramp
Circular Logic,,Instant,,U,{2}{U},3,8073,0,,,617152ea-bacd-42f3-928b-e0bcc686dd41,1,
Citadel Castellan,,Creature,"Human,Knight","G,W",{1}{G}{W},3,18039,0,,,7ddf1d45-5114-43ba-ac2b-6548fcbd9839,1,
Citadel Siege,,Enchantment,,W,{2}{W}{W},4,2822,0,,420679,44c40250-6f58-4590-b745-1aa95c1da2e8,1,
Citanul Druid,,Creature,"Human,Druid",G,{1}{G},2,19924,0,,1052,f8a130dc-3b1f-4fae-8459-b26bb5647fec,1,
Citanul Flute,,Artifact,,,{5},5,9195,0,,135244,5e3e0dff-d9f0-4222-a308-e86581c440cc,1,tutor
Citanul Woodreaders,,Creature,"Human,Druid",G,{2}{G},3,8990,0,,417427,9a88ba67-7904-4741-ae49-52a974aa1c41,1,cardraw
City in a Bottle,,Artifact,,,{2},2,20799,0,,904,9598b346-a47d-4c4c-9571-156824e86b9c,1,
Citystalker Connoisseur,,Creature,Vampire,B,{3}{B},4,,0,,,5fdeb07f-0e77-4636-b607-ad874d85d502,0,
Citywatch Sphinx,,Creature,Sphinx,U,{5}{U},6,16717,0,,452783,9b809f89-13c7-4236-86a5-60745defb271,1,
Citywide Bust,,Sorcery,,W,{1}{W}{W},3,3645,0,,482710,33d1a51a-abf0-458c-98ae-98fcf4063fd9,1,wrath
Civic Saber,,Artifact,Equipment,,{1},1,12667,0,,571633,f63c1112-4cfc-4af9-85a9-4431886f19bb,1,
Civic Stalwart,,Creature,"Elephant,Soldier",W,{3}{W},4,17227,0,,457150,aa981489-4301-43f6-b1d7-2aa42e00cf75,1,
Civic Wayfinder,,Creature,"Elf,Druid,Warrior",G,{2}{G},3,10727,0,,130522,76d01445-ada9-452e-a6c0-d9dff59755f9,1,
Civilized Scholar // Homicidal Brute,,Creature,"Human,Advisor","R,U",{2}{U},3,19881,0,,221209,7bf864db-4754-433d-9d77-6695f78f6c09,1,
Clackbridge Troll,,Creature,Troll,B,{3}{B}{B},5,2923,0,,473046,85929131-4df6-415c-b592-aefb2943c477,1,cardraw
Claim // Fame,,Sorcery,,"B,R",{B},3,11828,0,,,4f75ef30-7cc2-4cca-a210-af2c629d169e,1,
Claim of Erebos,,Enchantment,Aura,B,{1}{B},2,18783,0,,378436,a51db556-b3e8-4628-9e39-6353023b0696,1,
Claim the Firstborn,,Sorcery,,R,{R},1,5013,0,,473080,feaf1e6c-c7d9-4ac7-9aeb-c4b5d61548ec,1,
Clamor Shaman,,Creature,"Goblin,Shaman",R,{2}{R},3,11897,0,,457240,b3f073d7-f60a-44c1-aec9-cf42bbdb3153,1,
Clan Defiance,,Sorcery,,"G,R",{X}{R}{G},2,7622,0,,420804,5c38fa58-d2b7-4745-80e2-8be504378f8c,1,
Clan Guildmage,,Creature,"Human,Shaman","G,R",{R}{G},2,15077,0,,457306,34a18415-015c-4d3f-8042-b156a673e125,1,
Clarion Cathars,,Creature,"Human,Knight",W,{3}{W},4,14068,0,,,3937d712-e944-4540-bc38-812096977059,1,
Clarion Spirit,,Creature,Spirit,W,{1}{W},2,6087,0,,503610,86a4c348-1012-4339-960a-c7bc7fd84fbb,1,
Clarion Ultimatum,,Sorcery,,"G,U,W",{G}{G}{W}{W}{W}{U}{U},7,16517,0,,175142,39e8bf21-0baf-4ee9-b224-b9eee50df280,1,tutor
Clash of Realities,,Enchantment,,R,{3}{R},4,16651,0,,74598,064dcfb2-6088-49c9-89b2-88d63c9add53,1,
Clash of Titans,,Instant,,R,{3}{R}{R},5,11518,0,,479631,ca10e2b8-a317-4c98-a866-43bf274e82cb,1,removal
Clash of Wills,,Instant,,U,{X}{U},1,9442,0,,,1c67ab53-9489-4658-859e-9dd8a6e0f20d,1,
Clattering Skeletons,,Creature,Skeleton,B,{3}{B},4,11292,0,,527380,09ac0b2b-d4d3-4977-b241-7788239362de,1,
Claustrophobia,,Enchantment,Aura,U,{1}{U}{U},3,12705,0,,446083,263c47d3-7804-47db-b8a1-4a1dc3837dff,1,removal
Claws of Gix,,Artifact,,,{0},0,3965,0,,109690,d02b645e-ba2c-44a0-889e-c1b46d2cd925,1,
Claws of Valakut,,Enchantment,Aura,R,{1}{R}{R},3,8962,0,,243489,1bd90bc0-93b6-427f-96ad-b303dcc0383f,1,
Claws of Wirewood,,Sorcery,,G,{3}{G},4,19148,0,,43541,b94cd33f-40b6-4b11-97a4-8676ef27631e,1,"removal,wrath"
Clay Golem,,"Artifact,Creature",Golem,,{4},4,7748,0,,531959,3a949c88-07bb-4526-9460-9324574cc466,1,removal
Clay Statue,,"Artifact,Creature",Golem,,{4},4,20514,0,,2028,0dd9b203-fa4c-4383-a671-265101f4453a,1,
Cleanfall,,Sorcery,Arcane,W,{2}{W},3,14167,0,,80500,9897707f-9669-4d44-8607-cba569da73e0,1,
Cleanse,,Sorcery,,W,{2}{W}{W},4,,0,,1603,2fbd611b-ac97-4516-bad7-cc9ee4ef74f7,0,wrath
Cleansing Beam,,Instant,,R,{4}{R},5,18299,0,,430297,8ad0c91e-2765-4516-ae7a-3500f856eb31,1,removal
Cleansing Nova,,Sorcery,,W,{3}{W}{W},5,440,0,,482711,9b576ac4-a4b4-4d2c-820c-cf9fcc0c57c0,1,wrath
Cleansing Ray,,Sorcery,,W,{1}{W},2,19627,0,,439661,7bf94184-e745-469a-9d55-af0ddacbb9cf,1,
Cleansing Screech,,Sorcery,,R,{4}{R},5,22351,0,,447085,79928b26-fcac-4c3f-9edd-292769c2e56e,1,removal
Cleansing Wildfire,,Sorcery,,R,{1}{R},2,4458,0,,491777,492d77e5-acc6-41b8-8930-f39d69234919,1,cardraw
Clear a Path,,Sorcery,,R,{R},1,22470,0,,369029,8a8f904b-a9a3-4bae-9284-4e9cbe7592ee,1,removal
Clear Shot,,Instant,,G,{2}{G},3,9213,0,,489832,a7ff66fc-bd38-4607-b394-8c4e09affec8,1,removal
Clear the Mind,,Sorcery,,U,{2}{U},3,4020,0,,,335c5756-c1ac-4251-af0b-e7354a91c28e,1,cardraw
Clear the Stage,,Instant,,B,{4}{B},5,18590,0,,457212,0ac65975-6ff5-4863-b7b7-d7dbea213b50,1,removal
Clearwater Goblet,,Artifact,,,{5},5,13210,0,,50198,5458c041-dde0-4df7-82bb-ada36a482c53,1,
Cleaver Riot,,Sorcery,,R,{4}{R},5,13383,0,,438476,93930452-af89-42b3-b668-5d4f0a607d4f,1,
Cleaver Skaab,,Creature,"Zombie,Horror",U,{3}{U},4,2321,0,,540454,30498d6c-29e2-4d05-a5bc-e2e623c5704d,1,
Cleaving Reaper,,Creature,"Angel,Berserker",B,{3}{B}{B},5,10471,0,,506918,b59dadef-74e5-47c7-a3e0-51075ddb82b1,1,
Cleric Class,,Enchantment,Class,W,{W},1,1543,0,,527293,47ce8b7e-d8e1-489a-a69e-99089eeb8739,1,
Cleric of Chill Depths,,Creature,"Merfolk,Cleric",U,{1}{U},2,15405,0,,491679,b4ea262c-ea32-4aca-b96b-58f556a8dffc,1,
Cleric of Life's Bond,,Creature,"Vampire,Cleric","B,W",{W}{B},2,6327,0,,491873,953db280-6999-4b91-bc40-c6e7f7dd13ef,1,
Cleric of the Forward Order,,Creature,"Human,Cleric",W,{1}{W},2,23029,0,,398451,cfcea783-e9f0-4d44-ac74-5aee9a07aa69,1,
Clever Conjurer,,Creature,"Gnome,Wizard",U,{2}{U},3,6731,0,,527338,b9784c97-3839-4a4b-ae8a-965844dbeb70,1,
Clever Impersonator,,Creature,Shapeshifter,U,{2}{U}{U},4,652,0,,470628,c0516453-3e6a-4b7f-8df6-72a6e207169a,1,
Clever Lumimancer,,Creature,"Human,Wizard",W,{W},1,12282,0,,513487,69957656-cfdf-4001-8e84-0ef29e4a468d,1,
Clickslither,,Creature,Insect,R,{1}{R}{R}{R},4,15133,0,,157928,ecf8b20d-865d-467b-822b-5de5dcfb614b,1,
Cliff Threader,,Creature,"Kor,Scout",W,{1}{W},2,21551,0,,177546,1743b625-e937-4cac-8701-9e2dd709a9a4,1,
Cliffhaven Kitesail,,Artifact,Equipment,,{1},1,4470,0,,491894,eebf8f67-49d0-42de-a5cc-ad13d19d2c55,1,
Cliffhaven Sell-Sword,,Creature,"Kor,Warrior",W,{1}{W},2,17036,0,,491629,7f334767-4353-4379-a934-fa67075db439,1,
Cliffhaven Vampire,,Creature,"Vampire,Warrior,Ally","B,W",{2}{W}{B},4,2925,0,,407663,5544247d-1f8f-443f-a4c4-d8461db28a79,1,
Cliffrunner Behemoth,,Creature,"Rhino,Beast",G,{3}{G},4,16065,0,,159612,764c1a14-143f-4601-92c5-ebeabf3e375d,1,
Cliffside Lookout,,Creature,"Kor,Scout,Ally",W,{W},1,16854,0,,401842,8c755ae6-badc-4dc8-bfa6-fdebcb00bfba,1,
Cliffside Rescuer,,Creature,"Kor,Soldier",W,{1}{W},2,8436,0,,470547,c998d2ba-d2ca-4a85-b22a-ce8f42bb0d2f,1,
Cling to Dust,,Instant,,B,{B},1,5882,0,,476338,52c2de5f-e486-4cfe-9fb6-be0078ce5f93,1,cardraw
Clinging Anemones,,Creature,Jellyfish,U,{3}{U},4,17130,0,,366363,4e183069-096d-4977-8154-e7b60f17a787,1,
Clinging Darkness,,Enchantment,Aura,B,{1}{B},2,21774,0,,83822,2a939a4e-5a9e-454f-8716-cee7470f05e2,1,
Clinging Mists,,Instant,,G,{2}{G},3,14620,0,,262844,e0152975-790a-40e4-993e-a970676a2d32,1,
Clip Wings,,Instant,,G,{1}{G},2,16941,0,,,de33b639-5a01-44c5-bb80-94f52b8edcf5,1,removal
Cloak and Dagger,,"Tribal,Artifact","Rogue,Equipment",,{2},2,5272,0,,152604,38bb3e3c-1a7d-4bc4-b69d-6a8e9f1b3fe7,1,
Cloak of Confusion,,Enchantment,Aura,B,{1}{B},2,20025,0,,3834,430a4e23-d13c-4413-9032-f18350a128da,1,
Cloak of Mists,,Enchantment,Aura,U,{1}{U},2,8810,0,,447061,b36f41fa-b676-475e-bc2a-7dce5f249989,1,
Cloaked Cadet,,Creature,"Human,Ranger",G,{4}{G},5,10678,0,,,6700837a-6d89-428f-b7ca-870eae12697f,1,cardraw
Cloaked Siren,,Creature,Siren,U,{3}{U},4,20992,0,,416861,5f2f76f9-b883-42e1-bd74-71934e15b973,1,
Clock of Omens,,Artifact,,,{4},4,1531,0,,51129,0ffce71b-eb60-4649-a62b-a1b4acaa9d2d,1,
Clockspinning,,Instant,,U,{U},1,3729,0,,109673,1323d548-e2fe-47c5-8df3-f181aed537c5,1,
Clockwork Avian,,"Artifact,Creature",Bird,,{5},5,20362,0,,2029,4a92484b-064c-4588-a1ea-6de8fd485ca4,1,
Clockwork Beast,,"Artifact,Creature",Beast,,{6},6,20266,0,,604,c7741816-0bc1-4540-b4b2-006275ffe572,1,
Clockwork Gnomes,,"Artifact,Creature",Gnome,,{4},4,20223,0,,2901,3e0ca2ea-e059-4742-8ce4-22876762048c,1,
Clockwork Hydra,,"Artifact,Creature",Hydra,,{5},5,13428,0,,222749,c4a3bc8e-9f8e-4038-b026-9f8770ee6099,1,
Clockwork Servant,,"Artifact,Creature",Gnome,,{3},3,15105,0,,473178,c3af5942-d171-401a-9444-3b59c579e4db,1,cardraw
Clockwork Steed,,"Artifact,Creature",Horse,,{4},4,19953,0,,3769,d27d83b9-4454-40c0-bac0-de736c634a53,1,
Clockwork Swarm,,"Artifact,Creature",Insect,,{4},4,20800,0,,2903,dfd89e5c-79dc-4a57-b5ea-16491443fea1,1,
Cloister Gargoyle,,"Artifact,Creature",Gargoyle,W,{2}{W},3,8041,0,,527294,297bf274-d13d-4b75-b251-2d004b16b431,1,
Cloistered Youth // Unholy Fiend,,Creature,Human,"B,W",{1}{W},2,22471,0,,221212,f8b8f0b4-71e1-4822-99a1-b1b3c2f10cb2,1,
Clone,,Creature,Shapeshifter,U,{3}{U},4,2066,0,,129501,0782f78b-ff4d-4567-8606-d4f0ebb0a304,1,
Clone Crafter,,Creature,"Human,Wizard",U,{1}{U},2,,0,,,79e9c05e-964f-488c-a2b1-309044643ae1,0,
Clone Legion,,Sorcery,,U,{7}{U}{U},9,2223,0,,433016,ecc8a1bb-60f4-44a3-b5f0-a2c004966b57,1,
Clone Shell,,"Artifact,Creature",Shapeshifter,,{5},5,7725,0,,489914,6c627ec9-f75c-4a9d-8a4f-1f632a67e17b,1,
Closing Statement,,Instant,,"B,W",{3}{W}{B},5,9424,0,,513661,785e6d07-fe40-4723-b963-02da0a0987c7,1,removal
Clot Sliver,,Creature,Sliver,B,{1}{B},2,7329,0,,207900,43b794b5-4fd4-404a-813a-11020fab0ddc,1,
Cloud Crusader,,Creature,"Human,Knight",W,{2}{W}{W},4,19456,0,,208287,83ce09da-6c1d-46ac-870e-ff58ceaba116,1,
Cloud Djinn,,Creature,Djinn,U,{5}{U},6,22675,0,,26625,ed6e3741-6247-4180-8e79-2759af7f70df,1,
Cloud Dragon,,Creature,"Illusion,Dragon",U,{5}{U},6,21840,0,,233300,69aec764-7832-4d9c-b6c1-fdf5b27fedc0,1,
Cloud Elemental,,Creature,Elemental,U,{2}{U},3,22177,0,,129804,c6bc3025-704f-476b-bcb3-74b905755dc9,1,
Cloud Key,,Artifact,,,{3},3,1312,0,,136156,b893ab56-44a6-4b3c-bb3e-6deec298cbce,1,
Cloud Manta,,Creature,Fish,U,{3}{U},4,21230,0,,401843,1854f819-d08e-4a23-bedb-4618b79623e9,1,
Cloud of Faeries,,Creature,Faerie,U,{1}{U},2,1814,0,,11588,4e76d04a-0038-4b5b-a026-3056ee940da9,1,
Cloud Spirit,,Creature,Spirit,U,{2}{U},3,22534,0,,221988,1f043c62-a15e-472d-beb7-8fea47f8e1f4,1,
Cloud Sprite,,Creature,Faerie,U,{U},1,12464,0,,132069,feacf831-a6e4-456b-b8f2-d7ec554281a1,1,
Cloudblazer,,Creature,"Human,Scout","U,W",{3}{W}{U},5,1371,0,,442190,5a00b58c-785d-481d-9c8a-f329672a117f,1,cardraw
Cloudchaser Kestrel,,Creature,Bird,W,{1}{W}{W},3,10514,0,,113507,87003295-fd7c-489a-b724-b76eef187b57,1,
Cloudcrown Oak,,Creature,"Treefolk,Warrior",G,{2}{G}{G},4,16631,0,,426617,833211c0-3bec-4548-97a0-c9381660cd88,1,
Cloudfin Raptor,,Creature,"Bird,Mutant",U,{U},1,8531,0,,460767,67e126ac-6a47-4b6e-ac68-8d0acbd9cc9a,1,
Cloudform,,Enchantment,,U,{1}{U}{U},3,9840,0,,451038,00e3ff89-9901-48ba-900c-5778cdd1b112,1,
Cloudgoat Ranger,,Creature,"Giant,Warrior,Ranger",W,{3}{W}{W},5,9259,0,,508311,6dfaa74a-0ef0-44bb-b8b5-6d121278b5a2,1,
Cloudheath Drake,,"Artifact,Creature",Drake,"U,W",{4}{U},5,23148,0,,174814,7f71ec76-47e1-4f55-bc57-e7b1c88baedd,1,
Cloudhoof Kirin,Legendary,Creature,"Kirin,Spirit",U,{3}{U}{U},5,15198,0,1,89399,42aa0d70-8d66-47aa-9228-25dcdb4e7dad,1,
Cloudkin Seer,,Creature,"Elemental,Wizard",U,{2}{U},3,3741,0,,,fd8cddc6-fcbf-47d3-8068-5c0f1123b558,1,cardraw
Cloudpiercer,,Creature,Dinosaur,R,{4}{R},5,7091,0,,479632,3ec5f005-d8fb-48b8-8ac5-74445cc83273,1,cardraw
Cloudreader Sphinx,,Creature,Sphinx,U,{4}{U},5,12499,0,,489718,2afaeec0-9ea3-4aec-9876-8e005e787d71,1,
Cloudseeder,,Creature,"Faerie,Spellshaper",U,{1}{U},2,14069,0,,130309,727f9f4b-a8b6-47bd-9830-e69d118fe671,1,
Cloudshift,,Instant,,W,{W},1,1457,0,,441996,12b1e18f-f781-498c-ba84-cdee49c24230,1,
Cloudshredder Sliver,,Creature,Sliver,"R,W",{R}{W},2,2652,0,,,e11b0c43-2b36-419d-a567-23f1ebcdd340,1,
Cloudstone Curio,,Artifact,,,{3},3,1669,0,,420597,d581d8fd-a6af-4082-b8e3-3cf714db88c6,1,
Cloudthresher,,Creature,Elemental,G,{2}{G}{G}{G}{G},6,9877,0,,405174,87266156-55f2-4ffb-b87a-cef361e77482,1,removal
Clout of the Dominus,,Enchantment,Aura,"R,U",{U/R},1,6802,0,,152092,7c8ce6d6-014f-46c2-baf3-f250e9dc3085,1,
Cloven Casting,,Enchantment,,"R,U",{5}{U}{R},7,14264,0,,189653,c62ee3ea-8b85-4b14-87ae-7fca1d98b98b,1,
Clutch of Currents,,Sorcery,,U,{U},1,13823,0,,401844,3d20f482-e0b2-4e4a-be32-347ab112912c,1,
Clutch of the Undercity,,Instant,,"B,U",{1}{U}{U}{B},4,9062,0,,,63749e0f-74db-49d6-b11f-9b51ce55b727,1,
Coal Golem,,"Artifact,Creature",Golem,R,{5},5,22676,0,,1711,1ad7692d-5a51-493f-a322-7b615446ea8e,1,pseudo_ramp
Coal Stoker,,Creature,Elemental,R,{3}{R},4,16333,0,,368533,eea8624b-10fb-40ed-b771-90cc73abe676,1,
Coalhauler Swine,,Creature,"Boar,Beast",R,{4}{R}{R},6,10385,0,,87949,bc001cef-3afd-4128-989f-ac99dc76b243,1,
Coalition Honor Guard,,Creature,"Human,Flagbearer",W,{3}{W},4,16297,0,,26371,c5b7be3e-b4af-46d4-bcc6-b44c651f2012,1,
Coalition Relic,,Artifact,,,{3},3,1632,0,,442212,02c532e8-21f1-4d6f-a931-1ea48a6aeea2,1,"manarock,static_ramp"
Coalition Victory,,Sorcery,,"B,G,R,U,W",{3}{W}{U}{B}{R}{G},8,,0,,23216,dd8ad3aa-3225-45ae-8343-5991f5b52269,0,
Coastal Breach,,Sorcery,,U,{6}{U},7,6139,0,,420623,bf8b550a-c86f-4684-a4f6-14e75172324f,1,
